guba_name,postnums,readnum,replynum,post_id,create_time,author_url,content,title
玉米吧,479,657191970,13537,"news,cjpl,419809422",2016-06-15T17:19:31Z,http://iguba.eastmoney.com/6712111507146464,,1分钟极速开户，送3重惊喜！每月还能赚巨额现金奖励
焦炭吧,3335,1790,5,"news,fdcej,233218236",2015-12-18T21:33:38Z,http://iguba.eastmoney.com/6495111967212750,开空啊,庄在诱多
豆油吧,127,19874,23,"news,fdcey,582100623",2016-12-23T11:07:39Z,http://iguba.eastmoney.com/8953094786994162,美国豆油连续暴跌！！,美国豆油连续暴跌！！
豆粕吧,791,2724,14,"news,fdcem,106128577",2014-04-01T03:15:40Z,http://iguba.eastmoney.com/6972093910192020,四月底收盘将是一根带上影线的巨阴线！,终极诱多完结后所有多散瞬间一夜回到解放前！
PTA吧,616,1076205,5310,"news,fczceta,138447392",2014-12-26T21:31:43Z,http://iguba.eastmoney.com/3820112580250870,先是探底路，从4800元到4600元间，然后回升到4880元，明年重上5600元，和国际原油价配合，国际原油价也是56美元到48美元的探底路结束后，会上升回70美元附近。,PTA505合约在4720元至4860元间运行 明年大涨！
棕榈油吧,156,23792,23,"news,fdcep,565589773",2016-11-05T10:07:57Z,http://iguba.eastmoney.com/3398094207205302,,农产品牛市处于第三主升浪之中！
聚乙烯吧,45,429510,1420,"news,fdcel,99997951",2014-02-18T09:52:56Z,http://iguba.eastmoney.com/6959313230078950,开春第一次机会，,塑料1405在今天10550附近可以开多单。
棉花吧,230,27656,42,"news,fczcecf,626585009",2017-04-10T09:51:44Z,http://iguba.eastmoney.com/6663094041961110,菜粕！现货价2540元！菜粕1709合约2500以下---坚决开 多单！,菜粕现货价2540元！菜粕2500以下开多单！
硅铁吧,167,9489,13,"news,fczcesf,619258203",2017-03-21T09:10:21Z,http://iguba.eastmoney.com/6663094041961110,菜粕现货价 2540元！期货 菜粕 1709合约 价 2500 以下 坚决开 多单！！,菜粕现货价2540元！09合约2500以下坚决开多单
锰硅吧,60,19654,9,"news,fczcesm,596608306",2017-01-29T16:45:34Z,http://iguba.eastmoney.com/8204094179552196,锰硅合金即是铁合金的重要原料，也是炼钢的脱氧剂，用量较大，我国年产1000多万吨锰硅合金。从锰硅采矿到锰硅合金冶炼，多数企业规模小，产能低，技术含量低，产能过剩，2015年锰硅价格下跌，造成行业亏损严重，2016年锰硅企业积极主动去产能，取得显著成效，使锰硅价格回升，支撑了期货价格走强。因此，锰硅期货商品引起了机构投资者的关注和介入，成交量迅速放大。春节过后2月3月炒作黄金季节，锰硅705合约成交量将会成倍放大，将会成为期货商品热炒品种。期货价格将以7000为中轴，上下振幅1000。随着环保趋严，政府去产能坚决，企业在去产能中得到实惠，去产能主动，705期货主力合约贴水1000左右，期货价格向上的振幅更大。（公开资料整理，仅供参考）,锰硅将会成为期货商品热炒品种
线材吧,54,24863,21,"news,fshfewr,622683971",2017-03-29T22:25:02Z,http://iguba.eastmoney.com/4427094387594844,我开个记录贴，记录复盘和做单计划，考核一下盈亏比例！,我开个记录贴，记录复盘和做单计划，考核一下盈亏比例！
沪铅吧,159,4279,1,"news,fshfepb,693563536",2017-08-17T11:44:17Z,http://iguba.eastmoney.com/5033094348446086,内幕有大资金在操盘,内幕有大资金在操盘
强麦吧,15,9877,2,"news,fczcewh801,629177625",2017-04-15T22:11:33Z,http://iguba.eastmoney.com/9528094483641564,这货参与的人太少了，自慰挺着吧。,WH705周五收盘多单扫上去好耍吗？
铁矿石吧,11030,6412,6,"news,fdcei,260510375",2016-02-22T10:47:03Z,http://iguba.eastmoney.com/7238094196350024,327重仓空，爆了！太惨烈了,爆仓了
沪铝吧,399,6056,2,"news,fshfeal,690455867",2017-08-08T20:41:12Z,http://iguba.eastmoney.com/6034113380544288,拭目以待！,从内外盘看，一轮大行情已经开始了！
